Country,Year,Species_Type,Count,Source
Andorra,2004,Threatened Species: Plants (number),0.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2010,Threatened Species: Plants (number),0.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2015,Threatened Species: Plants (number),0.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2020,Threatened Species: Plants (number),1.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2021,Threatened Species: Plants (number),1.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2022,Threatened Species: Plants (number),1.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2023,Threatened Species: Plants (number),1.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2004,Threatened Species: Total (number),5.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2010,Threatened Species: Total (number),8.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2015,Threatened Species: Total (number),11.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2020,Threatened Species: Total (number),15.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2021,Threatened Species: Total (number),14.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2022,Threatened Species: Total (number),15.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Andorra,2023,Threatened Species: Total (number),17.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Angola,2004,Threatened Species: Vertebrates (number),44.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Angola,2010,Threatened Species: Vertebrates (number),77.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Angola,2015,Threatened Species: Vertebrates (number),87.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Angola,2020,Threatened Species: Vertebrates (number),117.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Angola,2021,Threatened Species: Vertebrates (number),134.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Angola,2022,Threatened Species: Vertebrates (number),149.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
